"date","source","cases"
1999-04-11,"confirmed",0
1999-04-18,"confirmed",0
1999-04-25,"confirmed",0
1999-05-02,"confirmed",0
1999-05-09,"confirmed",0
1999-05-16,"confirmed",0
1999-05-23,"confirmed",0
1999-05-30,"confirmed",0
1999-06-06,"confirmed",0
1999-06-13,"confirmed",0
1999-06-20,"confirmed",0
1999-06-27,"confirmed",0
1999-07-04,"confirmed",0
1999-07-11,"confirmed",0
1999-07-18,"confirmed",0
1999-07-25,"confirmed",0
1999-08-01,"confirmed",0
1999-08-08,"confirmed",0
1999-08-15,"confirmed",0
1999-08-22,"confirmed",0
1999-08-29,"confirmed",0
1999-09-05,"confirmed",0
1999-09-12,"confirmed",0
1999-09-19,"confirmed",0
1999-09-26,"confirmed",0
1999-10-03,"confirmed",0
1999-10-10,"confirmed",0
1999-10-17,"confirmed",0
1999-10-24,"confirmed",0
1999-10-31,"confirmed",0
1999-11-07,"confirmed",0
1999-11-14,"confirmed",0
1999-11-21,"confirmed",0
1999-11-28,"confirmed",0
1999-12-05,"confirmed",0
1999-12-12,"confirmed",0
1999-12-19,"confirmed",0
1999-12-26,"confirmed",0
2000-01-02,"confirmed",0
2000-01-09,"confirmed",0
2000-01-16,"confirmed",0
2000-01-23,"confirmed",0
2000-01-30,"confirmed",0
2000-02-06,"confirmed",0
2000-02-13,"confirmed",0
2000-02-20,"confirmed",0
2000-02-27,"confirmed",0
2000-03-05,"confirmed",0
2000-03-12,"confirmed",0
2000-03-19,"confirmed",0
2000-03-26,"confirmed",0
2000-04-02,"confirmed",0
2000-04-09,"confirmed",0
2000-04-16,"confirmed",0
2000-04-23,"confirmed",0
2000-04-30,"confirmed",0
2000-05-07,"confirmed",0
2000-05-14,"confirmed",0
2000-05-21,"confirmed",0
2000-05-28,"confirmed",0
2000-06-04,"confirmed",0
2000-06-11,"confirmed",0
2000-06-18,"confirmed",0
2000-06-25,"confirmed",0
2000-07-02,"confirmed",0
2000-07-09,"confirmed",0
2000-07-16,"confirmed",0
2000-07-23,"confirmed",0
2000-07-30,"confirmed",0
2000-08-06,"confirmed",0
2000-08-13,"confirmed",0
2000-08-20,"confirmed",0
2000-08-27,"confirmed",0
2000-09-03,"confirmed",0
2000-09-10,"confirmed",0
2000-09-17,"confirmed",0
2000-09-24,"confirmed",0
2000-10-01,"confirmed",0
2000-10-08,"confirmed",0
2000-10-15,"confirmed",0
2000-10-22,"confirmed",0
2000-10-29,"confirmed",0
2000-11-05,"confirmed",0
2000-11-12,"confirmed",0
2000-11-19,"confirmed",0
2000-11-26,"confirmed",0
2000-12-03,"confirmed",0
2000-12-10,"confirmed",0
2000-12-17,"confirmed",0
2000-12-24,"confirmed",0
2000-12-31,"confirmed",0
2001-01-07,"confirmed",0
2001-01-14,"confirmed",0
2001-01-21,"confirmed",0
2001-01-28,"confirmed",0
2001-02-04,"confirmed",0
2001-02-11,"confirmed",0
2001-02-18,"confirmed",0
2001-02-25,"confirmed",0
2001-03-04,"confirmed",0
2001-03-11,"confirmed",0
2001-03-18,"confirmed",0
2001-03-25,"confirmed",0
2001-04-01,"confirmed",0
2001-04-08,"confirmed",0
2001-04-15,"confirmed",0
2001-04-22,"confirmed",0
2001-04-29,"confirmed",0
2001-05-06,"confirmed",0
2001-05-13,"confirmed",0
2001-05-20,"confirmed",0
2001-05-27,"confirmed",0
2001-06-03,"confirmed",0
2001-06-10,"confirmed",0
2001-06-17,"confirmed",0
2001-06-24,"confirmed",0
